product_id,product_name,category,clothing_type,brand,list_price
61,Zudio Trend Kids Shoes #61,Kids,Shoes,Zudio Trend,
62,Zudio Trend Women Hoodies #62,  Women  ,Hoodies,Zudio Trend,1658.59
63,Zudio Kids Women T-shirts #63,Women,T-shirts,Zudio Kids,809.82
64,Zudio Denim Women Sweaters #64,Women,Sweaters,Zudio Denim,1722.48
65,Zudio Basics Men Sweaters #65,Men,Sweaters,Zudio Basics,2384.91
66,Zudio Kids Men Sweaters #66,Men,Sweaters,Zudio Kids,801.94
67,Zudio Denim Women Hoodies #67,Women,Hoodies,Zudio Denim,1399.07
68,Zudio Active Women Hoodies #68,Women,Hoodies,Zudio Active,2039.15
69,Zudio Active Men Shoes #69,Men,Shoes,Zudio Active,1618.37
70,Zudio Active Kids Shirts #70,Kids,Shirts,Zudio Active,1963.09
71,Zudio Active Kids Skirts #71,Kids,Skirts,Zudio Active,1816.43
72,Zudio Basics Women Pants #72,Women,Pants,Zudio Basics,1911.32
73,Zudio Basics Kids Skirts #73,Kids,Skirts,Zudio Basics,1563.6
74,Zudio Basics Women Pants #74,Women,Pants,Zudio Basics,1829.76
75,Zudio Kids Kids Sweaters #75,Kids,Sweaters,Zudio Kids,2375.89
76,Zudio Trend Women Shirts #76,Women,Shirts,Zudio Trend,2451.75
77,Zudio Trend Men Jackets #77,Men,Jackets,Zudio Trend,568.3
78,Zudio Active Kids Shirts #78,Kids,Shirts,Zudio Active,2102.13
79,Zudio Active Kids T-shirts #79,Kids,T-shirts,Zudio Active,757.28
80,Zudio Basics Women Skirts #80,Women,Skirts,Zudio Basics,797.85
81,Zudio Kids Women Tops #81,Women,Tops,Zudio Kids,1716.25
82,Zudio Trend Men Skirts #82,Men,Skirts,Zudio Trend,1678.14
83,Zudio Active Women Shirts #83,Women,Shirts,Zudio Active,2251.53
84,Zudio Trend Kids Shoes #84,KIDS,Shoes,Zudio Trend,2237.13
85,Zudio Trend Men Shoes #85,Men,Shoes,Zudio Trend,2476.28
86,Zudio Basics Kids Skirts #86,Kids,Skirts,Zudio Basics,1091.37
87,Zudio Kids Women Jeans #87,Women,Jeans,Zudio Kids,2129.75
88,Zudio Denim Kids Shoes #88,Kids,Shoes,Zudio Denim,2495.63
89,Zudio Basics Women Jackets #89,Women,Jackets,Zudio Basics,
90,Zudio Basics Men Jackets #90,Men,Jackets,Zudio Basics,1188.13
91,Zudio Trend Men Skirts #91,Men,Skirts,Zudio Trend,1214.22
92,Zudio Denim Kids Jackets #92,Kids,Jackets,Zudio Denim,1549.06
93,Zudio Trend Kids Shirts #93,Kids,Shirts,Zudio Trend,1857.45
94,Zudio Trend Kids Shirts #94,Kids,Shirts,Zudio Trend,1589.32
95,Zudio Kids Kids Dresses #95,Kids,Dresses,Zudio Kids,2027.0
96,Zudio Active Kids Skirts #96,Kids,Skirts,Zudio Active,2398.83
97,Zudio Basics Kids Tops #97,Kids,Tops,Zudio Basics,2059.55
98,Zudio Denim Men Pants #98,Men,Pants,Zudio Denim,1733.14
99,Zudio Kids Kids Sweaters #99,Kids,Sweaters,Zudio Kids,1221.08
100,Zudio Basics Women Dresses #100,Women,Dresses,Zudio Basics,2066.11
101,Zudio Basics Women Skirts #101,Women,Skirts,Zudio Basics,1330.01
102,Zudio Trend Women Shirts #102,  Women  ,Shirts,Zudio Trend,1478.2
103,Zudio Kids Women Tops #103,Women,Tops,Zudio Kids,2211.22
104,Zudio Active Men Tops #104,Men,Tops,Zudio Active,2460.12
105,Zudio Trend Kids Sweaters #105,Kids,Sweaters,Zudio Trend,1360.45
106,Zudio Active Women Sweaters #106,Women,Sweaters,Zudio Active,2481.73
107,Zudio Kids Women Pants #107,Women,Pants,Zudio Kids,769.13
108,Zudio Kids Men Pants #108,Men,Pants,Zudio Kids,622.94
109,Zudio Basics Women Pants #109,Women,Pants,Zudio Basics,2194.22
110,Zudio Kids Men Pants #110,Men,Pants,Zudio Kids,1180.86
111,Zudio Basics Women Shoes #111,Women,Shoes,Zudio Basics,1177.38
112,Zudio Denim Men Jeans #112,Men,Jeans,Zudio Denim,1564.2
113,Zudio Kids Men Tops #113,Men,Tops,Zudio Kids,1224.73
114,Zudio Trend Men Hoodies #114,Men,Hoodies,Zudio Trend,1661.36
115,Zudio Kids Kids Jeans #115,  Kids  ,Jeans,Zudio Kids,513.73
116,Zudio Active Women Jackets #116,Women,Jackets,Zudio Active,374.75
117,Zudio Trend Kids T-shirts #117,Kids,T-shirts,Zudio Trend,1785.41
118,Zudio Denim Women Jeans #118,Women,Jeans,Zudio Denim,2288.53
119,Zudio Basics Kids Shirts #119,Kids,Shirts,Zudio Basics,1235.83
120,Zudio Trend Men T-shirts #120,Men,T-shirts,Zudio Trend,705.61
121,Zudio Kids Men T-shirts #121,Men,T-shirts,Zudio Kids,2402.27
122,Zudio Trend Men Dresses #122,Men,Dresses,Zudio Trend,922.18
123,Zudio Kids Women Pants #123,Women,Pants,Zudio Kids,1324.97
124,Zudio Denim Kids Shirts #124,Kids,Shirts,Zudio Denim,381.57
125,Zudio Trend Women Hoodies #125,Women,Hoodies,Zudio Trend,697.14
126,Zudio Kids Men Jeans #126,Men,Jeans,Zudio Kids,447.91
127,Zudio Basics Kids Shoes #127,Kids,Shoes,Zudio Basics,2365.47
128,Zudio Active Men Jackets #128,Men,Jackets,Zudio Active,928.41
129,Zudio Basics Kids Skirts #129,Kids,Skirts,Zudio Basics,2013.99
130,Zudio Trend Men Jackets #130,Men,Jackets,Zudio Trend,1719.08
131,Zudio Kids Kids Hoodies #131,Kids,Hoodies,Zudio Kids,1706.1
132,Zudio Trend Men Skirts #132,Men,Skirts,Zudio Trend,1271.09
133,Zudio Denim Women Jackets #133,Women,Jackets,Zudio Denim,2201.81
134,Zudio Basics Women Hoodies #134,Women,Hoodies,Zudio Basics,2004.55
135,Zudio Denim Kids Shoes #135,Kids,Shoes,Zudio Denim,1481.94
136,Zudio Basics Women Pants #136,Women,Pants,Zudio Basics,1174.55
137,Zudio Kids Women Pants #137,Women,Pants,Zudio Kids,1685.42
138,Zudio Kids Women Sweaters #138,Women,Sweaters,Zudio Kids,892.69
139,Zudio Denim Kids Jackets #139,Kids,Jackets,Zudio Denim,1014.93
140,Zudio Trend Men Shirts #140,Men,Shirts,Zudio Trend,1692.67
141,Zudio Trend Men Jeans #141,Men,Jeans,Zudio Trend,2081.29
142,Zudio Active Men Tops #142,Men,Tops,Zudio Active,1551.47
143,Zudio Kids Women Shirts #143,Women,Shirts,Zudio Kids,1691.31
144,Zudio Active Women Sweaters #144,Women,Sweaters,Zudio Active,1495.55
145,Zudio Active Men Sweaters #145,Men,Sweaters,Zudio Active,2398.59
146,Zudio Denim Kids Hoodies #146,Kids,Hoodies,Zudio Denim,2128.5
147,Zudio Kids Women T-shirts #147,Women,T-shirts,Zudio Kids,609.98
148,Zudio Trend Women Sweaters #148,Women,Sweaters,Zudio Trend,571.81
149,Zudio Basics Women Pants #149,Women,Pants,Zudio Basics,1438.6
150,Zudio Kids Kids Dresses #150,Kids,Dresses,Zudio Kids,2001.42
151,Zudio Denim Women Jackets #151,Women,Jackets,Zudio Denim,303.68
152,Zudio Active Men Jackets #152,Men,Jackets,Zudio Active,798.28
153,Zudio Active Kids Skirts #153,Kids,Skirts,Zudio Active,1098.88
154,Zudio Trend Women Dresses #154,Women,Dresses,Zudio Trend,2074.64
155,Zudio Denim Women T-shirts #155,Women,T-shirts,Zudio Denim,1709.03
156,Zudio Active Men Sweaters #156,Men,Sweaters,Zudio Active,795.4
157,Zudio Active Women Hoodies #157,Women,Hoodies,Zudio Active,674.61
158,Zudio Trend Men Skirts #158,Men,Skirts,Zudio Trend,1136.1
159,Zudio Kids Men Hoodies #159,Men,Hoodies,Zudio Kids,342.45
160,Zudio Active Kids Shoes #160,Kids,Shoes,Zudio Active,1766.78
161,Zudio Trend Men Shoes #161,Men,Shoes,Zudio Trend,1546.08
162,Zudio Basics Women Sweaters #162,Women,Sweaters,Zudio Basics,2022.47
163,Zudio Basics Kids Jackets #163,Kids,Jackets,Zudio Basics,1684.3
164,Zudio Active Men Shoes #164,Men,Shoes,Zudio Active,2221.68
165,Zudio Denim Kids Shoes #165,Kids,Shoes,Zudio Denim,475.56
166,Zudio Active Kids Hoodies #166,Kids,Hoodies,Zudio Active,1315.63
167,Zudio Active Women Jackets #167,Women,Jackets,Zudio Active,954.33
168,Zudio Active Kids Jeans #168,Kids,Jeans,Zudio Active,1646.33
169,Zudio Kids Men Pants #169,Men,Pants,Zudio Kids,542.25
170,Zudio Kids Men Dresses #170,Men,Dresses,Zudio Kids,1031.91
171,Zudio Active Women T-shirts #171,Women,T-shirts,Zudio Active,443.16
172,Zudio Active Kids Tops #172,Kids,Tops,Zudio Active,784.05
173,Zudio Denim Kids Pants #173,Kids,Pants,Zudio Denim,2072.8
174,Zudio Active Men Hoodies #174,Men,Hoodies,Zudio Active,2217.02
175,Zudio Denim Women Jackets #175,Women,Jackets,Zudio Denim,2154.34
176,Zudio Active Kids Tops #176,Kids,Tops,Zudio Active,1331.25
177,Zudio Basics Kids Hoodies #177,Kids,Hoodies,Zudio Basics,2222.8
178,Zudio Kids Women Jackets #178,Women,Jackets,Zudio Kids,676.54
179,Zudio Denim Men Sweaters #179,Men,Sweaters,Zudio Denim,1397.32
180,Zudio Trend Kids Skirts #180,Kids,Skirts,Zudio Trend,502.6
181,Zudio Denim Women Sweaters #181,Women,Sweaters,Zudio Denim,300.2
182,Zudio Trend Men Tops #182,Men,Tops,Zudio Trend,1939.8
183,Zudio Denim Men Hoodies #183,Men,Hoodies,Zudio Denim,1589.61
184,Zudio Active Women Jeans #184,Women,Jeans,Zudio Active,380.61
185,Zudio Denim Women Pants #185,Women,Pants,Zudio Denim,2255.52
186,Zudio Denim Women Shirts #186,Women,Shirts,Zudio Denim,2390.35
187,Zudio Kids Kids Pants #187,Kids,Pants,Zudio Kids,1845.92
188,Zudio Trend Kids Jeans #188,Kids,Jeans,Zudio Trend,643.71
189,Zudio Denim Kids Jackets #189,Kids,Jackets,Zudio Denim,733.85
190,Zudio Kids Men T-shirts #190,Men,T-shirts,Zudio Kids,321.69
191,Zudio Active Kids Jackets #191,Kids,Jackets,Zudio Active,
192,Zudio Denim Men T-shirts #192,Men,T-shirts,Zudio Denim,
193,Zudio Kids Kids Jackets #193,Kids,Jackets,Zudio Kids,706.72
194,Zudio Denim Women Skirts #194,Women,Skirts,Zudio Denim,1321.09
195,Zudio Denim Women Sweaters #195,Women,Sweaters,Zudio Denim,2028.34
196,Zudio Basics Women Sweaters #196,  Women  ,Sweaters,Zudio Basics,2213.69
197,Zudio Active Women Shirts #197,Women,Shirts,Zudio Active,2166.25
198,Zudio Basics Women Tops #198,Women,Tops,Zudio Basics,703.13
199,Zudio Denim Women Skirts #199,Women,Skirts,Zudio Denim,1874.36
200,Zudio Active Women Tops #200,Women,Tops,Zudio Active,2150.25
201,Zudio Active Women Skirts #201,Women,Skirts,Zudio Active,1553.31
202,Zudio Active Women Hoodies #202,Women,Hoodies,Zudio Active,2260.79
203,Zudio Denim Kids Pants #203,Kids,Pants,Zudio Denim,956.32
204,Zudio Kids Men Pants #204,Men,Pants,Zudio Kids,2039.34
205,Zudio Trend Kids Shirts #205,Kids,Shirts,Zudio Trend,-618.64
206,Zudio Denim Men Dresses #206,Men,Dresses,Zudio Denim,2031.96
207,Zudio Trend Men Dresses #207,Men,Dresses,Zudio Trend,2121.99
208,Zudio Active Men Hoodies #208,Men,Hoodies,Zudio Active,931.55
209,Zudio Kids Men T-shirts #209,Men,T-shirts,Zudio Kids,582.23
210,Zudio Trend Women Jeans #210,Women,Jeans,Zudio Trend,2432.11
211,Zudio Active Kids Pants #211,Kids,Pants,Zudio Active,1766.36
212,Zudio Trend Women Jeans #212,Women,Jeans,Zudio Trend,789.15
213,Zudio Denim Men Jackets #213,Men,Jackets,Zudio Denim,807.2
214,Zudio Trend Men Skirts #214,Men,Skirts,Zudio Trend,1402.12
215,Zudio Basics Men Jackets #215,Men,Jackets,Zudio Basics,1936.56
216,Zudio Kids Women Dresses #216,Women,Dresses,Zudio Kids,1788.78
217,Zudio Kids Men Dresses #217,Men,Dresses,Zudio Kids,404.71
218,Zudio Basics Men Shirts #218,Men,Shirts,Zudio Basics,1609.09
219,Zudio Denim Women Dresses #219,Women,Dresses,Zudio Denim,1979.65
220,Zudio Trend Kids Jackets #220,Kids,Jackets,Zudio Trend,1839.97
221,Zudio Kids Men Jackets #221,Men,Jackets,Zudio Kids,618.73
222,Zudio Basics Men Jeans #222,Men,Jeans,Zudio Basics,1403.42
223,Zudio Trend Kids Jeans #223,Kids,Jeans,Zudio Trend,759.64
224,Zudio Active Women Shoes #224,Women,Shoes,Zudio Active,898.76
225,Zudio Basics Kids Dresses #225,Kids,Dresses,Zudio Basics,2098.67
226,Zudio Kids Women T-shirts #226,Women,T-shirts,Zudio Kids,1006.97
227,Zudio Active Kids Pants #227,Kids,Pants,Zudio Active,1036.98
228,Zudio Basics Women Dresses #228,Women,Dresses,Zudio Basics,2133.77
229,Zudio Kids Women Tops #229,Women,Tops,Zudio Kids,2047.12
230,Zudio Denim Women Hoodies #230,Women,Hoodies,Zudio Denim,1888.82
231,Zudio Active Men Tops #231,Men,Tops,Zudio Active,462.63
232,Zudio Kids Kids Dresses #232,kids,Dresses,Zudio Kids,2317.18
233,Zudio Basics Men Tops #233,Men,Tops,Zudio Basics,1943.97
234,Zudio Active Women Jeans #234,Women,Jeans,Zudio Active,1762.85
235,Zudio Kids Kids Tops #235,Kids,Tops,Zudio Kids,1835.46
236,Zudio Active Kids T-shirts #236,Kids,T-shirts,Zudio Active,2245.5
237,Zudio Kids Women Sweaters #237,Women,Sweaters,Zudio Kids,334.01
238,Zudio Basics Women Pants #238,Women,Pants,Zudio Basics,1218.47
239,Zudio Trend Women T-shirts #239,Women,T-shirts,Zudio Trend,1343.7
240,Zudio Kids Kids Jeans #240,Kids,Jeans,Zudio Kids,2080.03
241,Zudio Trend Women Hoodies #241,Women,Hoodies,Zudio Trend,1183.04
242,Zudio Trend Kids Tops #242,Kids,Tops,Zudio Trend,1622.59
243,Zudio Kids Women Dresses #243,Women,Dresses,Zudio Kids,2491.38
244,Zudio Trend Men Pants #244,Men,Pants,Zudio Trend,2271.24
245,Zudio Denim Kids Shoes #245,Kids,Shoes,Zudio Denim,1702.14
246,Zudio Denim Women Tops #246,Women,Tops,Zudio Denim,688.3
247,Zudio Active Women Dresses #247,Women,Dresses,Zudio Active,2159.78
248,Zudio Basics Kids T-shirts #248,Kids,T-shirts,Zudio Basics,1388.92
249,Zudio Basics Kids T-shirts #249,Kids,T-shirts,Zudio Basics,1733.2
250,Zudio Denim Women Jackets #250,Women,Jackets,Zudio Denim,944.89
251,Zudio Trend Women Sweaters #251,Women,Sweaters,Zudio Trend,813.51
252,Zudio Basics Women Hoodies #252,Women,Hoodies,Zudio Basics,935.87
253,Zudio Basics Women Dresses #253,Women,Dresses,Zudio Basics,1676.16
254,Zudio Kids Women Sweaters #254,Women,Sweaters,Zudio Kids,1506.6
255,Zudio Denim Women T-shirts #255,Women,T-shirts,Zudio Denim,462.28
256,Zudio Trend Women Hoodies #256,Women,Hoodies,Zudio Trend,2422.54
257,Zudio Denim Kids Jeans #257,Kids,Jeans,Zudio Denim,989.06
258,Zudio Trend Kids Pants #258,Kids,Pants,Zudio Trend,1146.79
259,Zudio Kids Women Hoodies #259,Women,Hoodies,Zudio Kids,1883.79
260,Zudio Basics Women Jeans #260,Women,Jeans,Zudio Basics,675.51
261,Zudio Denim Men T-shirts #261,Men,T-shirts,Zudio Denim,1041.67
262,Zudio Denim Men Shirts #262,MEN,Shirts,Zudio Denim,2355.95
263,Zudio Trend Kids Tops #263,Kids,Tops,Zudio Trend,1268.66
264,Zudio Denim Kids Shirts #264,Kids,Shirts,Zudio Denim,1750.1
265,Zudio Active Women Sweaters #265,Women,Sweaters,Zudio Active,1290.39
266,Zudio Kids Kids Jackets #266,Kids,Jackets,Zudio Kids,1363.84
267,Zudio Kids Women Jackets #267,Women,Jackets,Zudio Kids,448.97
268,Zudio Active Kids T-shirts #268,Kids,T-shirts,Zudio Active,2252.23
269,Zudio Basics Women Shoes #269,Women,Shoes,Zudio Basics,1241.52
270,Zudio Basics Kids Skirts #270,Kids,Skirts,Zudio Basics,557.33
271,Zudio Basics Kids Jackets #271,Kids,Jackets,Zudio Basics,2366.53
272,Zudio Basics Women Tops #272,Women,Tops,Zudio Basics,754.05
273,Zudio Denim Kids Skirts #273,Kids,Skirts,Zudio Denim,1487.75
274,Zudio Denim Kids Jeans #274,Kids,Jeans,Zudio Denim,734.79
275,Zudio Kids Women Shoes #275,Women,Shoes,Zudio Kids,1080.4
276,Zudio Denim Women Jeans #276,Women,Jeans,Zudio Denim,1164.59
277,Zudio Denim Kids T-shirts #277,Kids,T-shirts,Zudio Denim,1496.16
278,Zudio Trend Women Tops #278,Women,Tops,Zudio Trend,1957.1
279,Zudio Denim Men Jeans #279,Men,Jeans,Zudio Denim,2002.5
280,Zudio Denim Kids Jackets #280,Kids,Jackets,Zudio Denim,2020.32
281,Zudio Basics Kids Jeans #281,Kids,Jeans,Zudio Basics,2229.05
282,Zudio Denim Women Shirts #282,Women,Shirts,Zudio Denim,1673.65
283,Zudio Trend Men T-shirts #283,Men,T-shirts,Zudio Trend,1469.84
284,Zudio Basics Kids Jackets #284,Kids,Jackets,Zudio Basics,452.44
285,Zudio Denim Women Shoes #285,Women,Shoes,Zudio Denim,-979.38
286,Zudio Trend Women Shoes #286,Women,Shoes,Zudio Trend,592.26
287,Zudio Denim Kids T-shirts #287,Kids,T-shirts,Zudio Denim,459.45
288,Zudio Trend Men Dresses #288,Men,Dresses,Zudio Trend,809.57
289,Zudio Kids Kids Tops #289,Kids,Tops,Zudio Kids,436.86
290,Zudio Denim Kids Tops #290,Kids,Tops,Zudio Denim,1614.62
291,Zudio Kids Kids T-shirts #291,Kids,T-shirts,Zudio Kids,1362.72
292,Zudio Denim Women Sweaters #292,Women,Sweaters,Zudio Denim,991.89
293,Zudio Basics Kids Dresses #293,Kids,Dresses,Zudio Basics,1913.56
294,Zudio Trend Men Pants #294,Men,Pants,Zudio Trend,1187.32
295,Zudio Denim Women Pants #295,Women,Pants,Zudio Denim,508.0
296,Zudio Denim Men Shirts #296,Men,Shirts,Zudio Denim,1983.42
297,Zudio Active Kids Hoodies #297,Kids,Hoodies,Zudio Active,1888.31
298,Zudio Active Women T-shirts #298,Women,T-shirts,Zudio Active,1280.25
299,Zudio Denim Kids Shoes #299,Kids,Shoes,Zudio Denim,787.15
300,Zudio Active Women Pants #300,Women,Pants,Zudio Active,1269.44
301,Zudio Kids Women Skirts #301,Women,Skirts,Zudio Kids,542.34
302,Zudio Basics Men Shoes #302,Men,Shoes,Zudio Basics,881.75
303,Zudio Denim Women Dresses #303,Women,Dresses,Zudio Denim,1130.85
304,Zudio Denim Kids Pants #304,Kids,Pants,Zudio Denim,2035.23
305,Zudio Basics Kids Tops #305,Kids,Tops,Zudio Basics,1959.78
306,Zudio Denim Kids Sweaters #306,Kids,Sweaters,Zudio Denim,810.33
307,Zudio Denim Men Pants #307,Men,Pants,Zudio Denim,447.67
308,Zudio Kids Kids Pants #308,Kids,Pants,Zudio Kids,793.6
309,Zudio Trend Kids Sweaters #309,Kids,Sweaters,Zudio Trend,1502.08
310,Zudio Trend Women Pants #310,Women,Pants,Zudio Trend,1848.08
311,Zudio Kids Kids Jeans #311,Kids,Jeans,Zudio Kids,1484.04
312,Zudio Trend Women Shoes #312,Women,Shoes,Zudio Trend,706.57
313,Zudio Active Men Pants #313,Men,Pants,Zudio Active,1057.55
314,Zudio Trend Men Jackets #314,Men,Jackets,Zudio Trend,927.53
315,Zudio Kids Women Skirts #315,Women,Skirts,Zudio Kids,1958.76
316,Zudio Kids Kids Shirts #316,Kids,Shirts,Zudio Kids,2245.3
317,Zudio Kids Women Jackets #317,Women,Jackets,Zudio Kids,2121.32
318,Zudio Trend Kids Shoes #318,Kids,Shoes,Zudio Trend,372.58
319,Zudio Trend Kids T-shirts #319,Kids,T-shirts,Zudio Trend,1760.76
320,Zudio Kids Kids Jackets #320,Kids,Jackets,Zudio Kids,448.76
321,Zudio Active Kids T-shirts #321,Kids,T-shirts,Zudio Active,1614.05
322,Zudio Basics Women Tops #322,Women,Tops,Zudio Basics,1329.66
323,Zudio Basics Women Jackets #323,Women,Jackets,Zudio Basics,806.39
324,Zudio Kids Kids Jackets #324,Kids,Jackets,Zudio Kids,1346.46
325,Zudio Trend Men Hoodies #325,Men,Hoodies,Zudio Trend,1943.68
326,Zudio Basics Women Shirts #326,Women,Shirts,Zudio Basics,1088.18
327,Zudio Basics Men Pants #327,Men,Pants,Zudio Basics,1673.98
328,Zudio Active Men Hoodies #328,Men,Hoodies,Zudio Active,853.65
329,Zudio Kids Kids Jackets #329,Kids,Jackets,Zudio Kids,674.58
330,Zudio Trend Men Shoes #330,Men,Shoes,Zudio Trend,1858.58
331,Zudio Denim Women T-shirts #331,Women,T-shirts,Zudio Denim,1236.35
332,Zudio Kids Men Dresses #332,Men,Dresses,Zudio Kids,517.79
333,Zudio Kids Women Hoodies #333,Women,Hoodies,Zudio Kids,1160.98
334,Zudio Kids Women Shoes #334,Women,Shoes,Zudio Kids,1500.54
335,Zudio Denim Women T-shirts #335,Women,T-shirts,Zudio Denim,411.62
336,Zudio Active Women T-shirts #336,Women,T-shirts,Zudio Active,1781.96
337,Zudio Basics Men Pants #337,Men,Pants,Zudio Basics,2228.38
338,Zudio Basics Men Hoodies #338,Men,Hoodies,Zudio Basics,702.63
339,Zudio Basics Kids Jeans #339,Kids,Jeans,Zudio Basics,816.17
340,Zudio Trend Women Hoodies #340,Women,Hoodies,Zudio Trend,696.15
341,Zudio Trend Men Skirts #341,MEN,Skirts,Zudio Trend,2491.01
342,Zudio Basics Women Dresses #342,Women,Dresses,Zudio Basics,1585.89
343,Zudio Basics Kids Sweaters #343,Kids,Sweaters,Zudio Basics,2457.03
344,Zudio Kids Women Dresses #344,Women,Dresses,Zudio Kids,2293.08
345,Zudio Active Kids T-shirts #345,Kids,T-shirts,Zudio Active,1892.05
346,Zudio Basics Kids Shoes #346,Kids,Shoes,Zudio Basics,531.71
347,Zudio Basics Women Shoes #347,Women,Shoes,Zudio Basics,657.04
348,Zudio Denim Men Jackets #348,Men,Jackets,Zudio Denim,1619.35
349,Zudio Trend Women Jeans #349,Women,Jeans,Zudio Trend,1213.2
350,Zudio Active Men Jeans #350,Men,Jeans,Zudio Active,1859.72
351,Zudio Kids Women T-shirts #351,Women,T-shirts,Zudio Kids,775.06
352,Zudio Active Women Shoes #352,Women,Shoes,Zudio Active,1146.12
353,Zudio Kids Women Shirts #353,Women,Shirts,Zudio Kids,944.19
354,Zudio Kids Women Pants #354,Women,Pants,Zudio Kids,440.68
355,Zudio Kids Men Skirts #355,Men,Skirts,Zudio Kids,2359.01
356,Zudio Active Kids Tops #356,Kids,Tops,Zudio Active,1199.47
