store_id,store_name,city,state,tier,phone,email,open_date,selling_area_sqft,staff_count
42,Zudio - Varanasi Central 42,Varanasi,Uttar Pradesh,3,9831420476,store42@zudio.in,2022-02-16,4804,34
43,Zudio - Bengaluru Mall 43,Bengaluru,Karnataka,2,8864477951,store43@zudio.in,2018-07-12,3467,19
44,Zudio - Varanasi Central 44,Varanasi,Uttar Pradesh,2,9109977013,store44@zudio.in,2020-11-14,3600,29
45,Zudio - Kolhapur Central 45,Kolhapur,Maharashtra,3,9575490590,store45@zudio.in,2019-12-04,2828,23
46,Zudio - Nashik Central 46,Nashik,Maharashtra,3,7877880271,store46@zudio.in,2025-02-14,2518,17
47,Zudio - Bengaluru Central 47,Bengaluru,Karnataka,2,9983983173,store47@zudio.in,2018-09-09,3046,17
48,Zudio - Coimbatore Mall 48,Coimbatore,Tamil Nadu,2,7419421033,store48@zudio.in,2025-09-27,4035,14
49,Zudio - Jodhpur Mall 49,Jodhpur,Rajasthan,2,7833316885,store49@zudio.in,2021-01-28,2850,22
50,Zudio - Hubli Central 50,Hubli,Karnataka,2,7049614946,store50@zudio.in,2024-03-19,3028,15
51,Zudio - Howrah Central 51,Howrah,West Bengal,2,9979490930,store51@zudio.in,2020-07-18,2780,29
52,Zudio - Rajkot Mall 52,Rajkot,Gujarat,1,7623568376,store52@zudio.in,2022-01-20,3055,28
53,Zudio - Ahmedabad Mall 53,Ahmedabad,Gujarat,2,9565625966,store53@zudio.in,2019-05-26,1897,9
54,Zudio - Surat Mall 54,Surat,Gujarat,1,9817074944,store54@zudio.in,2021-05-30,4002,29
55,Zudio - Nashik Central 55,Nashik,Maharashtra,3,9787680365,store55@zudio.in,2023-12-06,3503,20
56,Zudio - Pune Mall 56,Pune,Maharashtra,2,8808332372,store56@zudio.in,2024-12-18,3283,27
57,Zudio - Udaipur Central 57,Udaipur,Rajasthan,3,7260114741,,2018-11-27,3718,19
58,Zudio - Ahmedabad Central 58,ahmedabad,Gujarat,2,9869952873,store58@zudio.in,2020-01-18,3389,30
59,Zudio - Kolhapur Mall 59,Kolhapur,Maharashtra,2,8393032747,store59@zudio.in,2023-03-21,2985,8
60,Zudio - Bengaluru Mall 60,Bengaluru,Karnataka,1,7079369275,store60@zudio.in,2021-07-10,3414,27
61,Zudio - Vadodara Mall 61,Vadodara,Gujarat,2,9011881374,store61@zudio.in,2024-02-13,2323,21
62,Zudio - Kolkata Central 62,Kolkata,West Bengal,3,7315266119,store62@zudio.in,2024-07-17,2219,10
63,Zudio - Delhi Central 63,Delhi,Delhi,2,8048544467,store63@zudio.in,2022-05-11,4016,14
64,Zudio - Hubli Central 64,Hubli,Karnataka,1,8814055532,store64@zudio.in,2024-05-24,2764,30
65,Zudio - Jodhpur Central 65,Jodhpur,Rajasthan,2,9481735100,store65@zudio.in,2024-01-01,3498,14
66,Zudio - Madurai Mall 66,Madurai,Tamil Nadu,2,7711398403,store66@zudio.in,2025-08-06,3482,8
67,Zudio - Mumbai Mall 67,Mumbai,Maharashtra,2,9113436736,store67@zudio.in,2025-03-13,2475,28
68,Zudio - Jaipur Central 68,Jaipur,Rajasthan,1,7208075706,store68@zudio.in,2026-01-22,3694,18
69,Zudio - Bengaluru Central 69,Bengaluru,Karnataka,2,7315577129,store69@zudio.in,2018-10-17,2787,12
70,Zudio - Rohini Central 70,Rohini,Delhi,2,8965971594,store70@zudio.in,2019-04-27,0,18
71,Zudio - Jaipur Central 71,Jaipur,Rajasthan,2,8048319612,store71@zudio.in,2020-01-15,2847,16
72,Zudio - Mangaluru Mall 72,Mangaluru,Karnataka,3,8888976388,store72@zudio.in,2024-10-16,3567,31
73,Zudio - New Delhi Central 73,New Delhi,Delhi,3,8710083188,store73@zudio.in,2021-11-25,3522,9
74,Zudio - Howrah Central 74,Howrah,West Bengal,2,7887069453,store74@zudio.in,2023-03-31,3366,31
75,Zudio - Bengaluru Mall 75,Bengaluru,Karnataka,2,8705177923,store75@zudio.in,2019-09-18,2046,9
76,Zudio - Bengaluru Mall 76,Bengaluru,Karnataka,1,9894617427,store76@zudio.in,2019-03-21,3822,23
77,Zudio - Bengaluru Central 77,BENGALURU,Karnataka,3,9625325123,store77@zudio.in,2019-05-22,3639,14
78,Zudio - Nashik Central 78,Nashik,Maharashtra,1,9058515916,store78@zudio.in,2021-08-23,3040,11
79,Zudio - Nashik Central 79,Nashik,Maharashtra,1,9889716108,store79@zudio.in,2024-03-15,4806,13
80,Zudio - Ghaziabad Central 80,Ghaziabad,Uttar Pradesh,1,8998150070,store80@zudio.in,2021-05-28,3926,20
81,Zudio - Tiruchirapalli Mall 81,Tiruchirapalli,Tamil Nadu,1,7186844620,store81@zudio.in,2019-06-04,2482,28
82,Zudio - Udaipur Central 82,Udaipur,Rajasthan,3,7499971629,store82@zudio.in,2024-03-06,0,27
83,Zudio - Ahmedabad Central 83,Ahmedabad,Gujarat,2,7286561645,store83@zudio.in,2024-09-28,2810,34
84,Zudio - Aurangabad Mall 84,Aurangabad,Maharashtra,2,8595835311,store84@zudio.in,2025-11-07,0,27
85,Zudio - Howrah Central 85,Howrah,West Bengal,2,8024538703,store85@zudio.in,2022-04-26,2213,33
86,Zudio - Durgapur Mall 86,Durgapur,West Bengal,3,8418325481,store86@zudio.in,2025-09-25,3655,23
87,Zudio - Varanasi Mall 87,Varanasi,Uttar Pradesh,1,7736317611,store87@zudio.in,2020-03-11,3767,26
88,Zudio - Surat Mall 88,Surat,Gujarat,3,8964897294,store88@zudio.in,2019-07-18,3562,20
89,Zudio - Siliguri Central 89,siliguri,West Bengal,1,7914671689,store89@zudio.in,2023-05-11,2573,32
90,Zudio - Lucknow Mall 90,Lucknow,Uttar Pradesh,2,9843935471,store90@zudio.in,2023-02-20,1855,24
91,Zudio - Jaipur Mall 91,Jaipur,Rajasthan,2,9116087817,store91@zudio.in,2023-05-08,3470,16
92,Zudio - Delhi Central 92,Delhi,Delhi,2,9084673999,store92@zudio.in,2023-01-06,2551,8
93,Zudio - Hubli Mall 93,Hubli,Karnataka,3,7297152987,store93@zudio.in,2024-10-12,1694,8
94,Zudio - Hubli Central 94,Hubli,Karnataka,3,8134643719,store94@zudio.in,2020-11-12,2730,15
95,Zudio - Dwarka Central 95,Dwarka,Delhi,2,7287166698,store95@zudio.in,2022-04-23,3283,30
96,Zudio - Tiruchirapalli Central 96,Tiruchirapalli,Tamil Nadu,2,8444490585,store96@zudio.in,2024-11-01,3200,24
97,Zudio - Chennai Central 97,Chennai,Tamil Nadu,1,7439451215,store97@zudio.in,2024-10-30,3724,14
98,Zudio - Siliguri Central 98,Siliguri,West Bengal,1,9391057702,store98@zudio.in,2019-10-03,2451,15
99,Zudio - Rajkot Central 99,Rajkot,Gujarat,2,7114076218,store99@zudio.in,2018-06-08,2879,18
100,Zudio - Kota Mall 100,Kota,Rajasthan,3,8442315582,store100@zudio.in,2020-02-23,5440,20
101,Zudio - Mysuru Central 101,Mysuru,Karnataka,3,7285377049,store101@zudio.in,2019-05-26,3940,17
102,Zudio - Aurangabad Central 102,Aurangabad,Maharashtra,1,9229669618,store102@zudio.in,2021-12-30,3098,22
103,Zudio - Udaipur Central 103,Udaipur,Rajasthan,2,9216936757,store103@zudio.in,2023-01-12,2450,33
104,Zudio - Kanpur Central 104,Kanpur,Uttar Pradesh,2,9971376997,store104@zudio.in,2020-11-03,3156,27
105,Zudio - Dwarka Central 105,Dwarka,Delhi,1,9745868949,store105@zudio.in,2021-03-20,5291,9
106,Zudio - Rajkot Central 106,Rajkot,Gujarat,1,8849888007,store106@zudio.in,2022-01-11,2331,19
107,Zudio - Nashik Mall 107,Nashik,Maharashtra,2,9917389651,store107@zudio.in,2023-09-02,3078,29
108,Zudio - Varanasi Mall 108,Varanasi,Uttar Pradesh,1,8361378763,store108@zudio.in,2020-02-22,2016,29
109,Zudio - Ahmedabad Mall 109,Ahmedabad,Gujarat,2,9598561202,store109@zudio.in,2021-03-14,2714,9
110,Zudio - Durgapur Central 110,Durgapur,West Bengal,1,8289677707,store110@zudio.in,2023-10-30,3214,12
111,Zudio - Mangaluru Mall 111,Mangaluru,Karnataka,3,7228247170,store111@zudio.in,2022-10-12,2525,33
112,Zudio - Rajkot Central 112,Rajkot,Gujarat,3,8823939710,store112@zudio.in,2018-12-01,2609,20
113,Zudio - Kanpur Mall 113,Kanpur,Uttar Pradesh,3,7853540116,store113@zudio.in,2024-03-13,2462,18
114,Zudio - Kanpur Central 114,Kanpur,Uttar Pradesh,2,9501141644,store114@zudio.in,2024-04-06,3210,21
115,Zudio - Aurangabad Central 115,Aurangabad,Maharashtra,1,8194418198,store115@zudio.in,2025-06-10,5053,27
116,Zudio - Varanasi Mall 116,Varanasi,Uttar Pradesh,1,9151398718,store116@zudio.in,2021-04-05,3144,17
117,Zudio - New Delhi Mall 117,New Delhi,Delhi,2,8353441983,store117@zudio.in,2021-02-18,1200,8
118,Zudio - Chennai Central 118,Chennai,Tamil Nadu,1,8664717051,store118@zudio.in,2024-11-20,3937,18
119,Zudio - Durgapur Mall 119,Durgapur,West Bengal,1,7481893334,store119@zudio.in,2021-07-07,3382,14
120,Zudio - Howrah Central 120,Howrah,West Bengal,2,8983134156,store120@zudio.in,2021-02-05,2764,13
121,Zudio - Nagpur Central 121,Nagpur,Maharashtra,3,9022580328,store121@zudio.in,2019-11-21,2997,20
122,Zudio - Dwarka Central 122,Dwarka,Delhi,3,9201536680,store122@zudio.in,2022-10-16,3807,24
123,Zudio - Pune Central 123,Pune,Maharashtra,2,7645219498,store123@zudio.in,2018-02-22,4255,16
124,Zudio - Dwarka Central 124,Dwarka,Delhi,1,,store124@zudio.in,2018-04-25,3328,17
125,Zudio - Coimbatore Central 125,Coimbatore,Tamil Nadu,1,8947272613,store125@zudio.in,2022-08-25,2636,21
126,Zudio - Coimbatore Central 126,Coimbatore,Tamil Nadu,3,9273894132,store126@zudio.in,2019-05-19,2290,21
127,Zudio - Varanasi Mall 127,  Varanasi  ,Uttar Pradesh,2,9723720644,store127@zudio.in,2024-08-22,3369,31
128,Zudio - New Delhi Mall 128,New Delhi,Delhi,2,7764553888,store128@zudio.in,2019-11-06,4205,23
129,Zudio - Ghaziabad Central 129,Ghaziabad,Uttar Pradesh,1,8519572371,store129@zudio.in,2022-11-01,2952,9
130,Zudio - Kolkata Mall 130,Kolkata,West Bengal,2,9717841815,store130@zudio.in,2019-06-24,4320,13
131,Zudio - Dwarka Mall 131,Dwarka,Delhi,2,7444162638,store131@zudio.in,2023-11-01,2127,26
132,Zudio - Nagpur Central 132,Nagpur,Maharashtra,3,9952791165,store132@zudio.in,2022-12-05,3937,28
133,Zudio - Kota Central 133,Kota,Rajasthan,3,9158743941,store133@zudio.in,2022-01-06,3124,16
134,Zudio - Tiruchirapalli Central 134,Tiruchirapalli,Tamil Nadu,2,9046793344,store134@zudio.in,2019-03-06,3592,25
135,Zudio - Tiruchirapalli Central 135,Tiruchirapalli,Tamil Nadu,2,7905567804,store135@zudio.in,2021-07-25,4093,8
136,Zudio - Udaipur Central 136,Udaipur,Rajasthan,2,7565941201,store136@zudio.in,2022-03-14,4165,12
137,Zudio - Jodhpur Central 137,Jodhpur,Rajasthan,2,9600434832,store137@zudio.in,2023-12-18,4046,17
138,Zudio - Nagpur Central 138,Nagpur,Maharashtra,1,,store138@zudio.in,2018-02-15,3573,34
139,Zudio - Udaipur Mall 139,Udaipur,Rajasthan,2,7634230570,store139@zudio.in,2018-01-23,4952,32
140,Zudio - Durgapur Central 140,Durgapur,West Bengal,2,8016970112,store140@zudio.in,2019-08-11,2792,25
141,Zudio - New Delhi Central 141,New Delhi,Delhi,2,8081653072,store141@zudio.in,2018-03-05,2814,23
142,Zudio - Nagpur Mall 142,Nagpur,Maharashtra,2,7401448380,store142@zudio.in,2020-04-07,4183,31
143,Zudio - Nashik Central 143,Nashik,Maharashtra,3,8179380621,store143@zudio.in,2022-09-26,2915,33
144,Zudio - Kolhapur Mall 144,Kolhapur,Maharashtra,2,8043315299,store144@zudio.in,2025-12-22,4190,31
145,Zudio - Chennai Central 145,CHENNAI,Tamil Nadu,2,9587987790,store145@zudio.in,2024-01-18,3872,13
146,Zudio - Ghaziabad Central 146,Ghaziabad,Uttar Pradesh,1,7654270669,store146@zudio.in,2019-12-30,3634,30
147,Zudio - Delhi Mall 147,Delhi,Delhi,1,7769765771,store147@zudio.in,2018-11-05,3194,12
148,Zudio - Delhi Mall 148,DELHI,Delhi,3,7379537925,store148@zudio.in,2023-05-15,2956,32
149,Zudio - Dwarka Mall 149,Dwarka,Delhi,2,9160399384,store149@zudio.in,2020-08-20,3101,13
150,Zudio - Nashik Central 150,Nashik,Maharashtra,1,7769468960,store150@zudio.in,2024-12-27,4293,11
151,Zudio - Rohini Mall 151,Rohini,Delhi,3,9501377567,store151@zudio.in,2020-03-21,2780,11
152,Zudio - Vadodara Mall 152,Vadodara,Gujarat,2,7983882513,store152@zudio.in,2024-08-28,4034,20
153,Zudio - Lucknow Central 153,Lucknow,Uttar Pradesh,3,9263413050,store153@zudio.in,2022-07-28,1529,10
154,Zudio - Ahmedabad Central 154,Ahmedabad,Gujarat,2,8802821667,store154@zudio.in,2025-10-06,3846,32
155,Zudio - Dwarka Central 155,Dwarka,Delhi,1,9398819132,store155@zudio.in,2020-11-11,3575,22
156,Zudio - Aurangabad Central 156,Aurangabad,Maharashtra,1,9173070507,store156@zudio.in,2023-02-23,4087,11
157,Zudio - Lucknow Central 157,Lucknow,Uttar Pradesh,3,8261397839,store157@zudio.in,2026-01-28,4524,34
158,Zudio - Pune Mall 158,Pune,Maharashtra,3,8444276535,store158@zudio.in,2025-05-18,1660,10
159,Zudio - Mangaluru Central 159,Mangaluru,Karnataka,1,9354155468,store159@zudio.in,2025-08-19,4269,32
160,Zudio - Chennai Mall 160,Chennai,Tamil Nadu,2,9752334488,store160@zudio.in,2018-11-20,3292,24
161,Zudio - Pune Mall 161,Pune,Maharashtra,3,7264617845,store161@zudio.in,2018-09-06,3433,12
162,Zudio - Dwarka Central 162,Dwarka,Delhi,2,9636873497,store162@zudio.in,2022-06-04,3615,24
163,Zudio - Mangaluru Mall 163,Mangaluru,Karnataka,1,8148046165,store163@zudio.in,2024-01-21,1200,11
164,Zudio - Delhi Mall 164,Delhi,Delhi,3,9217531358,store164@zudio.in,2023-09-08,2501,31
165,Zudio - Jaipur Central 165,Jaipur,Rajasthan,2,8139935481,store165@zudio.in,2019-05-14,3838,28
166,Zudio - Mysuru Mall 166,Mysuru,Karnataka,3,8478966250,store166@zudio.in,2022-02-03,4540,14
167,Zudio - Rohini Mall 167,Rohini,Delhi,2,9024938705,store167@zudio.in,2020-09-22,4462,16
168,Zudio - Noida Mall 168,Noida,Uttar Pradesh,2,8016582976,store168@zudio.in,2019-11-03,3660,11
169,Zudio - Howrah Mall 169,Howrah,West Bengal,1,7162396033,store169@zudio.in,2024-12-20,3780,15
170,Zudio - Nashik Central 170,Nashik,Maharashtra,1,7685120134,store170@zudio.in,2018-12-03,4302,29
171,Zudio - Ghaziabad Mall 171,Ghaziabad,Uttar Pradesh,3,9080278583,store171@zudio.in,2022-11-12,4084,22
172,Zudio - Pune Central 172,Pune,Maharashtra,1,9133816085,store172@zudio.in,2025-12-20,3775,15
173,Zudio - New Delhi Mall 173,New Delhi,Delhi,3,8163030573,store173@zudio.in,2024-03-04,4089,19
174,Zudio - Ahmedabad Mall 174,Ahmedabad,Gujarat,1,8328788246,store174@zudio.in,2024-04-22,3790,21
175,Zudio - Delhi Mall 175,Delhi,Delhi,2,9467216474,store175@zudio.in,2019-02-14,3011,15
176,Zudio - Rohini Central 176,Rohini,Delhi,3,8482261592,store176@zudio.in,2020-12-19,4323,10
177,Zudio - Howrah Central 177,Howrah,West Bengal,1,8252997063,store177@zudio.in,2024-01-28,3344,17
178,Zudio - Hubli Central 178,Hubli,Karnataka,2,8662486904,store178@zudio.in,2024-07-13,2685,15
179,Zudio - Coimbatore Mall 179,Coimbatore,Tamil Nadu,3,7896376568,store179@zudio.in,2018-11-24,2024,24
180,Zudio - Mysuru Central 180,Mysuru,Karnataka,3,9347142021,store180@zudio.in,2024-10-09,3820,26
181,Zudio - Kota Mall 181,Kota,Rajasthan,1,,store181@zudio.in,2018-08-12,3071,25
182,Zudio - Howrah Mall 182,Howrah,West Bengal,2,8316816947,store182@zudio.in,2019-03-25,3464,9
183,Zudio - Agra Central 183,Agra,Uttar Pradesh,1,8076188340,store183@zudio.in,2019-08-07,3197,22
184,Zudio - Rohini Mall 184,Rohini,Delhi,3,8468851794,store184@zudio.in,2018-08-29,1827,29
185,Zudio - Durgapur Central 185,Durgapur,West Bengal,2,8843311781,store185@zudio.in,2018-02-27,2629,16
186,Zudio - Hubli Central 186,Hubli,Karnataka,2,7625816948,store186@zudio.in,2024-09-28,3371,25
187,Zudio - Coimbatore Mall 187,Coimbatore,Tamil Nadu,1,9651530714,,2024-05-01,4626,25
188,Zudio - Kota Mall 188,Kota,Rajasthan,1,8857136171,store188@zudio.in,2019-11-18,2294,28
189,Zudio - Hubli Mall 189,Hubli,Karnataka,2,8254087676,store189@zudio.in,2020-06-26,1704,34
190,Zudio - Chennai Central 190,Chennai,Tamil Nadu,1,8433997682,store190@zudio.in,2023-04-19,2869,29
191,Zudio - Udaipur Central 191,Udaipur,Rajasthan,2,7510797857,store191@zudio.in,2024-08-12,2215,13
192,Zudio - Jaipur Mall 192,Jaipur,Rajasthan,3,7204559950,store192@zudio.in,2018-10-18,3712,27
193,Zudio - Aurangabad Mall 193,Aurangabad,Maharashtra,3,8029217346,,2019-10-06,2600,31
194,Zudio - Howrah Mall 194,Howrah,West Bengal,2,7521418346,store194@zudio.in,2020-10-27,2035,18
195,Zudio - Dwarka Central 195,Dwarka,Delhi,2,8947215078,store195@zudio.in,2018-08-18,3791,12
196,Zudio - Hubli Central 196,Hubli,Karnataka,2,7330521541,store196@zudio.in,2021-12-19,2773,31
197,Zudio - Kanpur Mall 197,Kanpur,Uttar Pradesh,2,9897130588,store197@zudio.in,2024-01-17,3435,19
198,Zudio - Delhi Mall 198,Delhi,Delhi,1,8869963470,store198@zudio.in,2025-08-21,4714,14
199,Zudio - Durgapur Mall 199,Durgapur,West Bengal,2,7401957489,store199@zudio.in,2024-01-15,3390,12
200,Zudio - Jodhpur Central 200,Jodhpur,Rajasthan,2,7873646851,store200@zudio.in,2024-02-29,3350,10
201,Zudio - Nashik Mall 201,Nashik,Maharashtra,2,9716946114,store201@zudio.in,2020-05-19,3828,22
202,Zudio - Kanpur Mall 202,Kanpur,Uttar Pradesh,1,8197454957,store202@zudio.in,2022-03-14,3602,27
203,Zudio - Durgapur Mall 203,Durgapur,West Bengal,1,8502653946,store203@zudio.in,2018-06-29,3346,33
204,Zudio - Kota Mall 204,Kota,Rajasthan,2,7113246680,store204@zudio.in,2025-09-09,2436,20
205,Zudio - Tiruchirapalli Central 205,Tiruchirapalli,Tamil Nadu,1,8194747566,store205@zudio.in,2018-11-14,4000,10
206,Zudio - Howrah Central 206,Howrah,West Bengal,2,7814782573,store206@zudio.in,2025-09-04,5062,26
207,Zudio - Dwarka Mall 207,Dwarka,Delhi,2,7434660298,store207@zudio.in,2024-02-05,4473,24
208,Zudio - Siliguri Central 208,Siliguri,West Bengal,3,7716495699,store208@zudio.in,2023-06-01,4837,23
209,Zudio - Agra Central 209,Agra,Uttar Pradesh,2,9704515362,store209@zudio.in,2019-12-11,2940,23
210,Zudio - Lucknow Mall 210,Lucknow,Uttar Pradesh,1,7748128050,store210@zudio.in,2021-05-17,3790,11
211,Zudio - New Delhi Central 211,New Delhi,Delhi,2,7304247898,store211@zudio.in,2019-07-24,1976,12
212,Zudio - Surat Central 212,Surat,Gujarat,1,8576948490,store212@zudio.in,2022-12-31,1782,31
213,Zudio - Noida Mall 213,Noida,Uttar Pradesh,2,7300673610,store213@zudio.in,2020-07-06,4063,19
214,Zudio - Madurai Mall 214,Madurai,Tamil Nadu,3,7990758118,store214@zudio.in,2020-04-28,3081,19
215,Zudio - Ghaziabad Mall 215,Ghaziabad,Uttar Pradesh,2,8873019716,store215@zudio.in,2018-09-19,3134,13
216,Zudio - Tiruchirapalli Mall 216,Tiruchirapalli,Tamil Nadu,3,8106879612,store216@zudio.in,2023-03-10,3112,29
217,Zudio - Jaipur Mall 217,Jaipur,Rajasthan,3,7413076300,store217@zudio.in,2022-10-03,3706,24
218,Zudio - Coimbatore Central 218,Coimbatore,Tamil Nadu,2,7439421445,store218@zudio.in,2018-10-09,2397,29
219,Zudio - Aurangabad Mall 219,Aurangabad,Maharashtra,3,7314916604,store219@zudio.in,2022-11-03,2512,12
220,Zudio - Dwarka Central 220,Dwarka,Delhi,3,7395783209,store220@zudio.in,2018-12-19,3526,15
221,Zudio - Agra Central 221,Agra,Uttar Pradesh,1,8960418648,store221@zudio.in,2019-06-14,2619,16
222,Zudio - Jaipur Central 222,Jaipur,Rajasthan,2,9616855533,store222@zudio.in,2023-11-30,3618,18
223,Zudio - Mumbai Central 223,Mumbai,Maharashtra,3,7340914314,store223@zudio.in,2021-06-07,2497,18
224,Zudio - Mangaluru Mall 224,Mangaluru,Karnataka,2,8767633740,store224@zudio.in,2023-10-16,2989,14
225,Zudio - Bengaluru Mall 225,Bengaluru,Karnataka,2,8251426105,store225@zudio.in,2022-01-28,2751,27
226,Zudio - Nagpur Mall 226,Nagpur,Maharashtra,3,7555920613,store226@zudio.in,2018-12-31,2369,18
227,Zudio - Tiruchirapalli Mall 227,Tiruchirapalli,Tamil Nadu,3,8135552150,store227@zudio.in,2025-03-06,4333,32
228,Zudio - Nagpur Mall 228,Nagpur,Maharashtra,2,7589553698,store228@zudio.in,2018-12-24,3933,11
229,Zudio - Rajkot Mall 229,Rajkot,Gujarat,2,7558393720,store229@zudio.in,2022-03-31,2291,19
230,Zudio - Vadodara Central 230,Vadodara,Gujarat,1,9029663896,store230@zudio.in,2019-01-15,2701,12
231,Zudio - Varanasi Mall 231,Varanasi,Uttar Pradesh,2,8959465649,store231@zudio.in,2018-06-23,2580,17
232,Zudio - Chennai Mall 232,Chennai,Tamil Nadu,2,7266085747,,2023-01-30,2547,26
233,Zudio - Mumbai Central 233,Mumbai,Maharashtra,2,9743026614,store233@zudio.in,2021-04-21,3284,9
234,Zudio - Kolhapur Mall 234,Kolhapur,Maharashtra,2,8586384028,store234@zudio.in,2024-04-17,3791,34
235,Zudio - Vadodara Mall 235,Vadodara,Gujarat,3,8380994511,store235@zudio.in,2021-11-01,2456,28
236,Zudio - Nagpur Mall 236,Nagpur,Maharashtra,3,9921078250,store236@zudio.in,2022-07-16,1990,23
237,Zudio - Dwarka Central 237,  Dwarka  ,Delhi,1,8581529540,store237@zudio.in,2019-05-05,3580,25
238,Zudio - Kota Central 238,Kota,Rajasthan,1,7322553635,store238@zudio.in,2020-03-22,3343,15
239,Zudio - Varanasi Mall 239,Varanasi,Uttar Pradesh,2,8322947544,store239@zudio.in,2023-03-09,3420,28
